SYM,Sector
BA,Aviaton/Car Manufactoring
ERJ,Aviaton/Car Manufactoring
F,Aviaton/Car Manufactoring
FCAU,Aviaton/Car Manufactoring
GM,Aviaton/Car Manufactoring
HMC,Aviaton/Car Manufactoring
LMT,Aviaton/Car Manufactoring
NOC,Aviaton/Car Manufactoring
RACE,Aviaton/Car Manufactoring
TM,Aviaton/Car Manufactoring
TSLA,Aviaton/Car Manufactoring
AMX,Communcation Services
BCE,Communcation Services
CHL,Communcation Services
CHT,Communcation Services
CHU,Communcation Services
CTL,Communcation Services
ORAN,Communcation Services
RCI,Communcation Services
SKM,Communcation Services
T,Communcation Services
TEF,Communcation Services
TLK,Communcation Services
TMUS,Communcation Services
TU,Communcation Services
VOD,Communcation Services
VZ,Communcation Services
AMZN,Consumer Discretionary
BKNG,Consumer Discretionary
DG,Consumer Discretionary
DLB,Consumer Discretionary
HD,Consumer Discretionary
LOW,Consumer Discretionary
LYV,Consumer Discretionary
NKE,Consumer Discretionary
TJX,Consumer Discretionary
WWE,Consumer Discretionary
CL,Consumer Staples
COST,Consumer Staples
KMB,Consumer Staples
KO,Consumer Staples
MDLZ,Consumer Staples
MO,Consumer Staples
PEP,Consumer Staples
PG,Consumer Staples
PM,Consumer Staples
TGT,Consumer Staples
WMT,Consumer Staples
BAC,FINANCE
C,FINANCE
COF,FINANCE
GS,FINANCE
JPM,FINANCE
MS,FINANCE
WFC,FINANCE
COP,Gas
EOG,Gas
MPC,Gas
OXY,Gas
PSX,Gas
VLO,Gas
XOM,Gas
ABT,Health
AMGN,Health
BMY,Health
JNJ,Health
LLY,Health
MDT,Health
MRK,Health
PFE,Health
TMO,Health
UNH,Health
CAT,Industrial
GE,Industrial
HON,Industrial
MMM,Industrial
UNP,Industrial
UPS,Industrial
AMT,Real Estate
AVB,Real Estate
CCI,Real Estate
DLR,Real Estate
EQIX,Real Estate
EQR,Real Estate
PLD,Real Estate
PSA,Real Estate
SBAC,Real Estate
ARMK,Restaurant
CMG,Restaurant
DNKN,Restaurant
DPZ,Restaurant
DRI,Restaurant
MCD,Restaurant
QSR,Restaurant
SBUX,Restaurant
TXRH,Restaurant
WEN,Restaurant
WING,Restaurant
YUM,Restaurant
YUMC,Restaurant
AAPL,TECH
CSCO,TECH
GOOG,TECH
IBM,TECH
INTC,TECH
MA,TECH
MSFT,TECH
V,TECH
AAL,Travel
ALGT,Travel
ALK,Travel
ATSG,Travel
CCL,Travel
CCS,Travel
CHH,Travel
CUK,Travel
CVEO,Travel
DAL,Travel
DIS,Travel
GD,Travel
GHG,Travel
H,Travel
HLT,Travel
HTHT,Travel
IHG,Travel
JBLU,Travel
LUV,Travel
MAR,Travel
MCRI,Travel
MTN,Travel
NCLH,Travel
PLYA,Travel
RCL,Travel
RLH,Travel
RRR,Travel
SKYW,Travel
STAY,Travel
TH,Travel
UAL,Travel
WH,Travel
WYND,Travel
AWK,Utilities
BEP,Utilities
ES,Utilities
NEE,Utilities
NGG,Utilities
PPL,Utilities
WEC,Utilities
XEL,Utilities
